FlowId,SrcAddr,DestAddr,TxPackets,RxPackets,LostPackets,PacketLossRate(%),Throughput(bps),DelaySum(s)
196,10.0.0.5,10.0.0.15,8,8,0,0,68336.9,0.00133694
197,10.0.0.9,10.0.0.19,13,13,0,0,849633,0.00899847
198,10.0.0.19,10.0.0.9,7,7,0,0,68133,0.00650558
199,10.0.0.13,10.0.0.17,15,15,0,0,1.03807e+06,0.00288984
200,10.0.0.17,10.0.0.13,8,8,0,0,68339.4,0.00133641
201,10.0.0.10,10.0.0.18,15,15,0,0,1.03705e+06,0.00290715
202,10.0.0.18,10.0.0.10,8,8,0,0,68339.1,0.00133646
203,10.0.0.6,10.0.0.20,14,14,0,0,947284,0.00385577
204,10.0.0.20,10.0.0.6,7,7,0,0,61482.1,0.00549829
205,10.0.0.3,10.0.0.2,15,15,0,0,1.03857e+06,0.00283794
206,10.0.0.2,10.0.0.3,8,8,0,0,68338,0.0013367
207,10.0.0.13,10.0.0.12,15,15,0,0,1.03779e+06,0.00294841
208,10.0.0.12,10.0.0.13,8,8,0,0,68337.8,0.00133675
209,10.0.0.12,10.0.0.5,15,15,0,0,1.03682e+06,0.00292739
210,10.0.0.5,10.0.0.12,8,8,0,0,68339.6,0.00133636
211,10.0.0.13,10.0.0.10,13,13,0,0,851261,0.0087976
212,10.0.0.10,10.0.0.13,7,7,0,0,68119.6,0.00661341
213,10.0.0.14,10.0.0.10,15,15,0,0,1.0378e+06,0.00289631
214,10.0.0.10,10.0.0.14,8,8,0,0,68336.8,0.00133696
215,10.0.0.10,10.0.0.11,15,15,0,0,1.03855e+06,0.00284206
216,10.0.0.11,10.0.0.10,8,8,0,0,68337.1,0.0013369
217,10.0.0.20,10.0.0.12,15,15,0,0,1.03742e+06,0.002958
218,10.0.0.12,10.0.0.20,8,8,0,0,68337.4,0.00133682
219,10.0.0.3,10.0.0.14,13,13,0,0,853126,0.0107874
220,10.0.0.14,10.0.0.3,7,7,0,0,71717.7,0.00447166
221,10.0.0.14,10.0.0.3,15,15,0,0,1.0389e+06,0.0028227
222,10.0.0.3,10.0.0.14,8,8,0,0,68338.6,0.00133658
223,10.0.0.14,10.0.0.1,11,11,0,0,673506,0.0121562
224,10.0.0.1,10.0.0.14,6,6,0,0,64790.5,0.00926379
225,10.0.0.11,10.0.0.8,15,15,0,0,1.02921e+06,0.00555548
226,10.0.0.8,10.0.0.11,8,8,0,0,71057.7,0.00264087
227,10.0.0.19,10.0.0.8,13,13,0,0,851947,0.00479527
228,10.0.0.8,10.0.0.19,7,7,0,0,62424.9,0.0105286
229,10.0.0.19,10.0.0.20,14,14,0,0,942464,0.0100178
230,10.0.0.20,10.0.0.19,7,7,0,0,69727.4,0.00168185
231,10.0.0.15,10.0.0.8,14,14,0,0,942250,0.00811138
232,10.0.0.8,10.0.0.15,7,7,0,0,66714,0.00349056
233,10.0.0.15,10.0.0.14,12,12,0,0,764463,0.0104218
234,10.0.0.14,10.0.0.15,6,6,0,0,61756.2,0.00525841
235,10.0.0.11,10.0.0.16,13,13,0,0,854429,0.00673219
236,10.0.0.16,10.0.0.11,7,7,0,0,65538,0.00750491
237,10.0.0.20,10.0.0.18,15,15,0,0,1.03642e+06,0.00288665
238,10.0.0.18,10.0.0.20,8,8,0,0,68348.7,0.0013371
239,10.0.0.10,10.0.0.7,15,15,0,0,1.03308e+06,0.00415113
240,10.0.0.7,10.0.0.10,8,8,0,0,69546.9,0.00364029
241,10.0.0.16,10.0.0.1,13,13,0,0,851121,0.00489913
242,10.0.0.1,10.0.0.16,7,7,0,0,62378,0.0105104
243,10.0.0.15,10.0.0.17,15,15,0,0,1.03637e+06,0.00290398
244,10.0.0.17,10.0.0.15,8,8,0,0,68337.8,0.00133674
245,10.0.0.10,10.0.0.1,11,11,0,0,672902,0.0091666
246,10.0.0.1,10.0.0.10,6,6,0,0,60194.9,0.0103077
247,10.0.0.14,10.0.0.16,11,11,0,0,673407,0.0111461
248,10.0.0.16,10.0.0.14,6,6,0,0,63243,0.00930906
249,10.0.0.7,10.0.0.4,15,15,0,0,1.03883e+06,0.00291492
250,10.0.0.4,10.0.0.7,8,8,0,0,68337.2,0.00133688
251,10.0.0.3,10.0.0.4,15,15,0,0,1.03904e+06,0.00280579
252,10.0.0.4,10.0.0.3,8,8,0,0,68349.2,0.00133698
253,10.0.0.9,10.0.0.19,15,15,0,0,1.03755e+06,0.00285041
254,10.0.0.19,10.0.0.9,8,8,0,0,68339,0.00133649
255,10.0.0.6,10.0.0.13,12,12,0,0,764197,0.0104246
256,10.0.0.13,10.0.0.6,6,6,0,0,61767.1,0.00631202
257,10.0.0.12,10.0.0.5,15,15,0,0,1.03745e+06,0.00294118
258,10.0.0.5,10.0.0.12,8,8,0,0,68339,0.00133649
259,10.0.0.3,10.0.0.17,15,15,0,0,1.03725e+06,0.0029757
260,10.0.0.17,10.0.0.3,8,8,0,0,68336.9,0.00133694
261,10.0.0.19,10.0.0.2,15,15,0,0,1.03781e+06,0.00293072
262,10.0.0.2,10.0.0.19,8,8,0,0,68337.1,0.0013369
263,10.0.0.6,10.0.0.16,14,14,0,0,946930,0.00386499
264,10.0.0.16,10.0.0.6,7,7,0,0,61401.6,0.00638922
265,10.0.0.5,10.0.0.2,15,15,0,0,1.02689e+06,0.00647565
266,10.0.0.2,10.0.0.5,8,8,0,0,72211.3,0.00180407
267,10.0.0.15,10.0.0.18,13,13,0,0,855853,0.00766499
268,10.0.0.18,10.0.0.15,7,7,0,0,67070.1,0.00443585
269,10.0.0.12,10.0.0.3,12,12,0,0,763356,0.00854014
270,10.0.0.3,10.0.0.12,6,6,0,0,58956.4,0.0072654
271,10.0.0.11,10.0.0.1,12,12,0,0,764085,0.0124148
272,10.0.0.1,10.0.0.11,6,6,0,0,64805.2,0.00427742
273,10.0.0.17,10.0.0.20,13,13,0,0,852952,0.0118861
274,10.0.0.20,10.0.0.17,7,7,0,0,73507.6,0.00340946
275,10.0.0.10,10.0.0.8,12,12,0,0,764022,0.0105503
276,10.0.0.8,10.0.0.10,6,6,0,0,61879,0.00524032
277,10.0.0.1,10.0.0.14,15,15,0,0,1.03729e+06,0.0028984
278,10.0.0.14,10.0.0.1,8,8,0,0,68337.4,0.00133684
279,10.0.0.8,10.0.0.20,15,15,0,0,1.03829e+06,0.00291172
280,10.0.0.20,10.0.0.8,8,8,0,0,68349.6,0.00133689
281,10.0.0.6,10.0.0.17,15,15,0,0,1.03734e+06,0.00290361
282,10.0.0.17,10.0.0.6,8,8,0,0,68337.1,0.0013369
283,10.0.0.12,10.0.0.18,12,12,0,0,764488,0.00855804
284,10.0.0.18,10.0.0.12,6,6,0,0,59079,0.00733775
285,10.0.0.2,10.0.0.6,11,11,0,0,672657,0.012245
286,10.0.0.6,10.0.0.2,6,6,0,0,64925.2,0.0103078
287,10.0.0.17,10.0.0.15,15,15,0,0,1.03881e+06,0.00280671
288,10.0.0.15,10.0.0.17,8,8,0,0,68337.7,0.00133677
289,10.0.0.11,10.0.0.18,14,14,0,0,945572,0.00683191
290,10.0.0.18,10.0.0.11,7,7,0,0,65404.3,0.00242912
291,10.0.0.4,10.0.0.2,15,15,0,0,1.03743e+06,0.00408745
292,10.0.0.2,10.0.0.4,8,8,0,0,70042.1,0.00175943
293,10.0.0.14,10.0.0.15,15,15,0,0,1.03906e+06,0.00281427
294,10.0.0.15,10.0.0.14,8,8,0,0,68339.4,0.00133641
295,10.0.0.5,10.0.0.8,15,15,0,0,1.03812e+06,0.00282585
296,10.0.0.8,10.0.0.5,8,8,0,0,68338.2,0.00133666
297,10.0.0.12,10.0.0.13,15,15,0,0,1.03888e+06,0.00287982
298,10.0.0.13,10.0.0.12,8,8,0,0,68338,0.0013367
299,10.0.0.12,10.0.0.20,15,15,0,0,1.03765e+06,0.00295333
300,10.0.0.20,10.0.0.12,8,8,0,0,68337.7,0.00133676
301,10.0.0.8,10.0.0.14,13,13,0,0,852363,0.00681994
302,10.0.0.14,10.0.0.8,7,7,0,0,65250,0.00853999
303,10.0.0.16,10.0.0.8,15,15,0,0,1.03831e+06,0.00281376
304,10.0.0.8,10.0.0.16,8,8,0,0,68336.4,0.00133705
305,10.0.0.18,10.0.0.17,11,11,0,0,673514,0.00923936
306,10.0.0.17,10.0.0.18,6,6,0,0,60297.8,0.0102718
307,10.0.0.1,10.0.0.5,15,15,0,0,1.03849e+06,0.00289304
308,10.0.0.5,10.0.0.1,8,8,0,0,68349.7,0.00133687
309,10.0.0.7,10.0.0.16,13,13,0,0,854269,0.00674063
310,10.0.0.16,10.0.0.7,7,7,0,0,65407.5,0.00739677
311,10.0.0.20,10.0.0.6,15,15,0,0,1.03652e+06,0.00296613
312,10.0.0.6,10.0.0.20,8,8,0,0,68336.4,0.00133705
313,10.0.0.13,10.0.0.14,15,15,0,0,1.03668e+06,0.00288904
314,10.0.0.14,10.0.0.13,8,8,0,0,68335.9,0.00133714
315,10.0.0.20,10.0.0.18,15,15,0,0,1.03833e+06,0.00283942
316,10.0.0.18,10.0.0.20,8,8,0,0,68336,0.00133714
317,10.0.0.11,10.0.0.8,15,15,0,0,1.03644e+06,0.0029361
318,10.0.0.8,10.0.0.11,8,8,0,0,68337,0.00133691
319,10.0.0.18,10.0.0.13,13,13,0,0,854732,0.00579704
320,10.0.0.13,10.0.0.18,7,7,0,0,64112.2,0.0074059
321,10.0.0.6,10.0.0.18,15,15,0,0,1.03888e+06,0.00402982
322,10.0.0.18,10.0.0.6,8,8,0,0,70111.5,0.00261358
323,10.0.0.12,10.0.0.11,15,15,0,0,1.03773e+06,0.00289412
324,10.0.0.11,10.0.0.12,8,8,0,0,68349.3,0.00133695
325,10.0.0.13,10.0.0.3,15,15,0,0,1.03853e+06,0.00293236
326,10.0.0.3,10.0.0.13,8,8,0,0,68337.7,0.00133678
327,10.0.0.11,10.0.0.5,13,13,0,0,852600,0.0117248
328,10.0.0.5,10.0.0.11,7,7,0,0,73290.5,0.00353606
329,10.0.0.19,10.0.0.6,13,13,0,0,854924,0.00877113
330,10.0.0.6,10.0.0.19,7,7,0,0,68617.9,0.00545282
331,10.0.0.1,10.0.0.16,15,15,0,0,1.03698e+06,0.00296882
332,10.0.0.16,10.0.0.1,8,8,0,0,68338.9,0.00133651
333,10.0.0.14,10.0.0.18,13,13,0,0,854914,0.0117255
334,10.0.0.18,10.0.0.14,7,7,0,0,73803.6,0.00250095
335,10.0.0.16,10.0.0.18,12,12,0,0,763205,0.00743032
336,10.0.0.18,10.0.0.16,6,6,0,0,57399.8,0.010227
337,10.0.0.15,10.0.0.16,13,13,0,0,855176,0.0056853
338,10.0.0.16,10.0.0.15,7,7,0,0,64148.6,0.00847723
339,10.0.0.15,10.0.0.12,14,14,0,0,945730,0.00489817
340,10.0.0.12,10.0.0.15,7,7,0,0,62612.6,0.00642509
341,10.0.0.3,10.0.0.4,15,15,0,0,1.03818e+06,0.00285142
342,10.0.0.4,10.0.0.3,8,8,0,0,68336.7,0.00133699
343,10.0.0.11,10.0.0.17,15,15,0,0,1.03636e+06,0.00290203
344,10.0.0.17,10.0.0.11,8,8,0,0,68338.8,0.00133654
345,10.0.0.8,10.0.0.15,15,15,0,0,1.03638e+06,0.00298107
346,10.0.0.15,10.0.0.8,8,8,0,0,68338.8,0.00133654
347,10.0.0.20,10.0.0.19,15,15,0,0,1.03884e+06,0.00279521
348,10.0.0.19,10.0.0.20,8,8,0,0,68337.7,0.00133677
349,10.0.0.20,10.0.0.3,12,12,0,0,763911,0.012459
350,10.0.0.3,10.0.0.20,6,6,0,0,64937.6,0.00631192
