time_s,nodeId,x,y,z
9,19,110.518,-11.166,0.853
10,0,114.873,-25.043,-4.429
10,1,113.557,-39.282,6.591
10,2,134.162,-145.31,-5.239
10,3,119.628,-136.334,-9.883
10,4,118.22,-41.346,-12.5
10,5,137.537,-127.965,-6.743
10,6,121.542,-159.44,-1.882
10,7,107.181,-18.271,-10.433
10,8,134.934,-128.561,9.549
10,9,120.134,-32.177,-14.336
10,10,117.173,-143.404,5.381
10,11,119.505,-26.202,-18.863
10,12,101.546,-25.199,-6.274
10,13,130.075,-145.309,-1.9
10,14,120.329,-114.616,0.187
10,15,111.777,-48.121,-2.706
10,16,122.42,-127.775,-7.957
10,17,115.733,-91.785,-0.494
10,18,111.194,-134.577,-4.105
10,19,120.383,-12.233,0.713
11,0,126.102,-26.232,-4.087
11,1,128.033,-42.072,7.702
11,2,143.507,-143.269,-5.032
11,3,129.928,-136.769,-10.979
11,4,130.447,-44.328,-12.462
11,5,148.071,-124.986,-6.527
11,6,134.459,-155.401,-1.819
11,7,120.979,-20.377,-10.755
11,8,145.779,-125.33,10.097
11,9,131.309,-35.623,-14.616
11,10,127.747,-142.402,6.407
11,11,133.36,-26.836,-19.909
11,12,114.761,-27.265,-6.527
11,13,143.542,-143.852,-1.883
11,14,132.937,-113.214,0.379
11,15,125.116,-49.596,-3.125
11,16,133.7,-128.21,-7.746
11,17,129.578,-91.121,-1.485
11,18,123.506,-130.337,-3.703
11,19,131.192,-13.392,0.685
12,0,138.606,-29.418,-3.633
12,1,141.672,-45.826,8.739
12,2,153.747,-143.042,-5.376
12,3,141.747,-135.591,-12.393
12,4,142.419,-47.425,-12.522
12,5,160.446,-122.605,-6.402
12,6,147.226,-152.42,-1.861
12,7,134.705,-22.803,-11.046
12,8,158.105,-123.78,10.695
12,9,142.806,-38.728,-14.787
12,10,138.956,-141.301,7.557
12,11,146.591,-29.227,-21.114
12,12,127.374,-29.882,-6.648
12,13,154.852,-140.86,-1.611
12,14,145.058,-111.289,0.442
12,15,138.509,-51.365,-3.463
12,16,144.956,-130.183,-7.599
12,17,142.008,-91.363,-2.374
12,18,136.006,-126.467,-3.279
12,19,141.645,-15.348,0.81
13,0,150.312,-32.663,-3.007
13,1,156.226,-47.558,9.577
13,2,164.361,-141.76,-6.111
13,3,152.711,-135.263,-13.804
13,4,154.595,-51.5,-12.602
13,5,170.641,-119.823,-6.246
13,6,159.61,-149.134,-1.919
13,7,147.985,-23.089,-11.442
13,8,169.261,-121.727,11.42
13,9,154.9,-42.431,-15.051
13,10,150.817,-139.936,8.563
13,11,159.964,-31.156,-22.308
13,12,140.752,-30.364,-6.888
13,13,167.615,-137.975,-1.027
13,14,157.405,-109.725,0.695
13,15,151.802,-54.327,-3.653
13,16,157.005,-127.986,-7.437
13,17,154.996,-91.887,-3.237
13,18,148.538,-122.078,-2.9
13,19,152.607,-17.444,0.885
14,0,162.076,-36.571,-2.208
14,1,170.034,-51.185,10.428
14,2,175.002,-139.942,-6.962
14,3,164.147,-135.385,-15.111
14,4,166.342,-56.008,-12.528
14,5,182.432,-116.639,-6.3
14,6,171.764,-146.823,-1.818
14,7,161.335,-25.901,-11.751
14,8,181.147,-119.675,11.935
14,9,166.227,-46.284,-15.45
14,10,162.08,-138.766,9.538
14,11,172.681,-32.328,-23.3
14,12,153.373,-33.825,-6.95
14,13,180.403,-135.36,-0.129
14,14,169.582,-107.579,0.743
14,15,164.399,-58.749,-3.691
14,16,168.349,-126.677,-7.421
14,17,167.261,-89.402,-4.024
14,18,159.567,-117.75,-2.514
14,19,163.67,-19.468,1.034
15,0,175.154,-38.458,-1.305
15,1,183.931,-53.879,11.211
15,2,186.879,-139.002,-7.905
15,3,175.171,-132.722,-16.547
15,4,178.089,-60.089,-12.673
15,5,194.592,-113.205,-6.351
15,6,184.099,-142.938,-1.639
15,7,175.447,-28.029,-12.168
15,8,191.981,-116.547,12.467
15,9,177.639,-49.877,-15.733
15,10,173.888,-137.652,10.607
15,11,186.238,-34.164,-24.038
15,12,165.591,-36.546,-7.056
15,13,192.996,-131.563,0.878
15,14,181.418,-105.807,0.84
15,15,177.325,-61.259,-3.672
15,16,179.142,-125.781,-7.486
15,17,180.969,-88.448,-4.738
15,18,171.599,-114.164,-2.192
15,19,175.576,-22.922,1.117
16,0,188.27,-42.516,-0.496
16,1,196.547,-58.193,11.748
16,2,197.224,-136.77,-8.957
16,3,186.192,-132.307,-17.929
16,4,191.127,-63.845,-12.894
16,5,205.572,-110.073,-6.438
16,6,197.721,-140.662,-1.342
16,7,188.36,-30.454,-12.502
16,8,203.054,-111.995,12.993
16,9,190.059,-54.084,-16.112
16,10,184.849,-135.386,11.47
16,11,198.886,-37.427,-24.135
16,12,178.199,-39.659,-6.944
16,13,205.715,-128.37,1.887
16,14,194.015,-103.113,0.946
16,15,190.992,-65.586,-3.433
16,16,190.788,-122.923,-7.664
16,17,194.248,-89.112,-5.563
16,18,183.623,-109.382,-1.882
16,19,187.702,-26.022,1.135
17,0,200.3,-46.93,0.555
17,1,210.745,-62.192,12.073
17,2,209.649,-135.268,-10.001
17,3,198.263,-129.96,-19.046
17,4,203.969,-69.362,-12.986
17,5,217.391,-105.902,-6.713
17,6,208.977,-136.173,-0.979
17,7,201.64,-32.709,-12.834
17,8,214.623,-110.203,13.246
17,9,202.086,-58.86,-16.325
17,10,196.535,-132.59,12.247
17,11,212.046,-39.946,-21.977
17,12,190.583,-44.635,-6.883
17,13,217.818,-123.513,2.765
17,14,207.412,-99.159,0.88
17,15,203.112,-71.449,-2.973
17,16,201.45,-120.629,-7.654
17,17,206.756,-87.615,-6.272
17,18,194.29,-104.72,-1.662
17,19,199.131,-29.307,1.209
18,0,214.059,-51.623,1.794
18,1,224.528,-67.077,12.218
18,2,220.613,-131.921,-11.079
18,3,208.619,-127.384,-19.923
18,4,216.15,-75.378,-13.257
18,5,229.091,-101.886,-7.105
18,6,221.332,-133.053,-0.369
18,7,215.185,-37.372,-13.048
18,8,226.182,-106.191,13.423
18,9,214.004,-63.535,-16.434
