time_s,nodeId,x,y,z
10,5,5.24829,2.50824,7.84371
10,6,5.99474,0.118756,0.0930194
10,7,7.01198,0.10481,0.050416
10,8,9.60898,-1.6411,1.21679
10,9,-0.651608,0.923202,0.741998
10,10,0.191968,0.747477,4.30853
10,11,0.719865,2.46194,3.35194
10,12,1.65101,1.22133,2.35986
10,13,2.99659,1.04162,0.0431461
10,14,0.324378,3.9601,18.6331
11,0,0.0204039,0.00660787,0.00697727
11,1,1.8113,0.127791,0.206522
11,2,2.00396,0.0215743,0.006544
11,3,2.99771,0.0926331,0.0354319
11,4,4.01331,0.0938746,0.0359589
11,5,5.24829,2.50824,7.84371
11,6,5.99474,0.118756,0.0930194
11,7,7.01198,0.10481,0.050416
11,8,9.23107,-1.22573,1.18182
11,9,-0.651608,0.923202,0.741998
11,10,0.191968,0.747477,4.30853
11,11,0.719865,2.46194,3.35194
11,12,1.65101,1.22133,2.35986
11,13,2.99659,1.04162,0.0431461
11,14,0.322944,3.96955,18.6112
12,0,0.0204039,0.00660787,0.00697727
12,1,1.8113,0.127791,0.206522
12,2,2.00396,0.0215743,0.006544
12,3,2.99771,0.0926331,0.0354319
12,4,4.01331,0.0938746,0.0359589
12,5,5.24829,2.50824,7.84371
12,6,5.99474,0.118756,0.0930194
12,7,7.01198,0.10481,0.050416
12,8,8.69375,-0.624242,1.16208
12,9,-0.651608,0.923202,0.741998
12,10,0.191968,0.747477,4.30853
12,11,0.719865,2.46194,3.35194
12,12,1.65101,1.22133,2.35986
12,13,2.99659,1.04162,0.0431461
12,14,0.308311,3.98763,18.5984
13,0,0.0204039,0.00660787,0.00697727
13,1,1.8113,0.127791,0.206522
13,2,2.00396,0.0215743,0.006544
13,3,2.99771,0.0926331,0.0354319
13,4,4.01331,0.0938746,0.0359589
13,5,5.24829,2.50824,7.84371
13,6,5.99474,0.118756,0.0930194
13,7,7.01198,0.10481,0.050416
13,8,8.15643,-0.0227492,1.14233
13,9,-0.651608,0.923202,0.741998
13,10,0.191968,0.747477,4.30853
13,11,0.719865,2.46194,3.35194
13,12,1.65101,1.22133,2.35986
13,13,2.99659,1.04162,0.0431461
