FlowId,SrcAddr,DestAddr,TxPackets,RxPackets,LostPackets,PacketLossRate(%),Throughput(bps),DelaySum
92,10.0.0.5,10.0.0.8,3,3,0,0,21549.9,0.000472907
93,10.0.0.7,10.0.0.10,4,4,0,0,28545.1,0.00490031
94,10.0.0.10,10.0.0.7,2,2,0,0,15788.9,0.00249509
95,10.0.0.14,10.0.0.15,4,4,0,0,28544.5,0.00179771
96,10.0.0.15,10.0.0.14,2,2,0,0,14945.7,0.00659006
97,10.0.0.10,10.0.0.11,4,4,0,0,28544,0.001926
98,10.0.0.11,10.0.0.10,2,2,0,0,14962.1,0.00451105
99,10.0.0.2,10.0.0.5,4,4,0,0,28529.1,0.00580422
100,10.0.0.5,10.0.0.2,2,2,0,0,16044.9,0.00458303
101,10.0.0.6,10.0.0.7,6,6,0,0,149622,0.00188005
102,10.0.0.7,10.0.0.6,3,3,0,0,21533.5,0.000481958
103,10.0.0.7,10.0.0.15,4,4,0,0,28577.3,0.00677325
104,10.0.0.15,10.0.0.7,2,2,0,0,16353.7,0.00148709
105,10.0.0.11,10.0.0.7,6,6,0,0,149859,0.00162811
106,10.0.0.7,10.0.0.11,3,3,0,0,21572.7,0.000472949
107,10.0.0.6,10.0.0.10,4,4,0,0,28591,0.00380048
108,10.0.0.10,10.0.0.6,2,2,0,0,15503.3,0.00947912
109,10.0.0.15,10.0.0.4,4,4,0,0,28545.7,0.00586092
110,10.0.0.4,10.0.0.15,2,2,0,0,16077.1,0.00254005
111,10.0.0.5,10.0.0.7,4,4,0,0,28582.7,0.00474413
112,10.0.0.7,10.0.0.5,2,2,0,0,15773.3,0.00158603
113,10.0.0.1,10.0.0.6,6,6,0,0,149548,0.00201107
114,10.0.0.6,10.0.0.1,3,3,0,0,21533.5,0.000508976
115,10.0.0.8,10.0.0.10,4,4,0,0,28532.8,0.00586937
116,10.0.0.10,10.0.0.8,2,2,0,0,16071.7,0.000659104
117,10.0.0.1,10.0.0.9,4,4,0,0,28568.3,0.00780996
118,10.0.0.9,10.0.0.1,2,2,0,0,16697.8,0.00557311
119,10.0.0.9,10.0.0.2,4,4,0,0,28556.1,0.00975947
120,10.0.0.2,10.0.0.9,2,2,0,0,17343.4,0.00659008
