10.009,7,DATA,1,11.0581,406.911,146.716
11,7,DATA,2,2.56568,414.382,146.716
11.006,3,DATA,4,17.3501,147.132,92.7438
12,7,DATA,5,11.1352,421.921,146.716
12,3,DATA,6,9.98463,140.271,92.7438
12.002,5,DATA,8,246.904,451.217,136.204
13,7,DATA,9,19.7048,429.46,146.716
13,3,DATA,10,2.57472,133.368,92.7438
13,5,DATA,11,255.413,456.593,136.204
14,3,DATA,13,9.98463,126.465,92.7438
14,5,DATA,14,263.94,461.98,136.204
14.002,7,DATA,16,28.2915,437.014,146.716
15,5,DATA,17,272.467,467.366,136.204
15,7,DATA,18,36.8439,444.539,146.716
16,7,DATA,20,45.4134,452.078,146.716
17,7,DATA,22,53.983,459.617,146.716
21.004,8,DATA,28,432.233,133.951,144.372
22,8,DATA,29,436.519,152.014,144.372
23,8,DATA,31,440.821,170.149,144.372
24,8,DATA,33,445.124,188.284,144.372
